
MIM Number	Title	Entrez Gene ID
#600376	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 2; HHT2	
#600649	CARNITINE PALMITOYLTRANSFERASE II DEFICIENCY, INFANTILE	
#600721	D-2-HYDROXYGLUTARIC ACIDURIA 1; D2HGA1	
#600795	FRONTOTEMPORAL DEMENTIA AND/OR AMYOTROPHIC LATERAL SCLEROSIS 7; FTDALS7	
#600802	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-POSITIVE, NK CELL-NEGATIVE	
#600807	ASTHMA, SUSCEPTIBILITY TO	
#600920	VAN DEN ENDE-GUPTA SYNDROME; VDEGS	
#600972	ACHONDROGENESIS, TYPE IB; ACG1B	
#600987	CLEFT PALATE, CARDIAC DEFECTS, AND IMPAIRED INTELLECTUAL DEVELOPMENT; CPCMR	
#601005	TIMOTHY SYNDROME; TS	
#601152	NEUROPATHY, HEREDITARY MOTOR AND SENSORY, TYPE VIA, WITH OPTIC ATROPHY; HMSN6A	
#601186	MICROPHTHALMIA, SYNDROMIC 9; MCOPS9	
#601198	HYPOCALCEMIA, AUTOSOMAL DOMINANT 1; HYPOC1	
#601200	PLEUROPULMONARY BLASTOMA; PPB	
#601360	AMELIA, POSTERIOR, WITH PELVIC AND PULMONARY HYPOPLASIA SYNDROME; PAPPAS	
#601390	VAN MALDERGEM SYNDROME 1; VMLDS1	
#601419	MYOPATHY, MYOFIBRILLAR, 1; MFM1	
#601457	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-POSITIVE	
#601462	MYASTHENIC SYNDROME, CONGENITAL, 1A, SLOW-CHANNEL; CMS1A	
#601495	AGAMMAGLOBULINEMIA 1, AUTOSOMAL RECESSIVE; AGM1	
#601536	ATHABASKAN BRAINSTEM DYSGENESIS SYNDROME; ABDS	
#601559	STUVE-WIEDEMANN SYNDROME 1; STWS1	
#601650	PHEOCHROMOCYTOMA/PARAGANGLIOMA SYNDROME 2; PPGL2	
#601705	T-CELL IMMUNODEFICIENCY, CONGENITAL ALOPECIA, AND NAIL DYSTROPHY; TIDAND	
#601776	EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE, 1; EDSMC1	
#601803	PALLISTER-KILLIAN SYNDROME; PKS	
#601808	CHROMOSOME 18q DELETION SYNDROME	
#601846	MYOPATHY WITH RIMMED UBIQUITIN-POSITIVE AUTOPHAGIC VACUOLATION, AUTOSOMAL DOMINANT; MRUPAV	
#602079	TRIMETHYLAMINURIA; TMAU	
#602088	NEPHRONOPHTHISIS 2; NPHP2	
#602099	AMYOTROPHIC LATERAL SCLEROSIS 5, JUVENILE; ALS5	
#602271	SPONDYLOMETAPHYSEAL DYSPLASIA, AXIAL; SMDAX	
#602450	SEVERE COMBINED IMMUNODEFICIENCY WITH SENSITIVITY TO IONIZING RADIATION	
#602483	AURICULOCONDYLAR SYNDROME 1; ARCND1	
#602535	MARSHALL-SMITH SYNDROME; MRSHSS	
#602557	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, SHOHAT TYPE; SEMDSH	
#602629	DYSTONIA 6, TORSION; DYT6	
#191830	RENAL HYPODYSPLASIA/APLASIA 1; RHDA1	





