
MIM Number	Title	Entrez Gene ID
#308240	LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, 1; XLP1	
#309555	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, GUSTAVSON TYPE; MRXSG	
#312060	PROPERDIN DEFICIENCY, X-LINKED; CFPD	
#312863	COMBINED IMMUNODEFICIENCY, X-LINKED; CIDX	
#313900	THROMBOCYTOPENIA 1; THC1	
#148210	KERATITIS-ICHTHYOSIS-DEAFNESS SYNDROME, AUTOSOMAL DOMINANT; KIDAD	
#150550	PERIODIC FEVER, IMMUNODEFICIENCY, AND THROMBOCYTOPENIA SYNDROME; PFITS	
#151400	LEUKEMIA, CHRONIC LYMPHOCYTIC; CLL	
#152700	SYSTEMIC LUPUS ERYTHEMATOSUS; SLE	
#153600	MACROGLOBULINEMIA, WALDENSTROM, SUSCEPTIBILITY TO, 1; WM1	
#158310	MUCOEPITHELIAL DYSPLASIA, HEREDITARY; HMD	
#158350	COWDEN SYNDROME 1; CWS1	
#159550	ATAXIA-PANCYTOPENIA SYNDROME; ATXPC	
#170100	PROLIDASE DEFICIENCY	
#102700	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY	
#109100	AUTOIMMUNE DISEASE	
#110700	BLOOD GROUP, DUFFY SYSTEM; FY	
#113620	BRANCHIOOCULOFACIAL SYNDROME; BOFS	
#116920	LEUKOCYTE ADHESION DEFICIENCY, TYPE I; LAD1	
#120790	COMPLEMENT COMPONENT 4, PARTIAL DEFICIENCY OF	
#177900	PSORIASIS 1, SUSCEPTIBILITY TO; PSORS1	
#180300	RHEUMATOID ARTHRITIS; RA	
#180800	ROUSSY-LEVY HEREDITARY AREFLEXIC DYSTASIA	
#180849	RUBINSTEIN-TAYBI SYNDROME 1; RSTS1	
#181000	SARCOIDOSIS, SUSCEPTIBILITY TO, 1; SS1	
#182250	SINGLETON-MERTEN SYNDROME 1; SGMRT1	
#182410	SNEDDON SYNDROME; SNDNS	
#188400	DIGEORGE SYNDROME; DGS	
#130080	EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 1; EDSPD1	
#142395	HEPATITIS B VACCINE, RESPONSE TO	
#147060	HYPER-IgE SYNDROME 1, AUTOSOMAL DOMINANT, WITH RECURRENT INFECTIONS; HIES1	
#600802	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-POSITIVE, NK CELL-NEGATIVE	
#601005	TIMOTHY SYNDROME; TS	
#601457	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-POSITIVE	
#601495	AGAMMAGLOBULINEMIA 1, AUTOSOMAL RECESSIVE; AGM1	
#601675	TRICHOTHIODYSTROPHY 1, PHOTOSENSITIVE; TTD1	
#601705	T-CELL IMMUNODEFICIENCY, CONGENITAL ALOPECIA, AND NAIL DYSTROPHY; TIDAND	
#601808	CHROMOSOME 18q DELETION SYNDROME	
#601859	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME; ALPS	
#602450	SEVERE COMBINED IMMUNODEFICIENCY WITH SENSITIVITY TO IONIZING RADIATION	
#602668	MYOTONIC DYSTROPHY 2; DM2	
#191900	MUCKLE-WELLS SYNDROME; MWS	
#192430	VELOCARDIOFACIAL SYNDROME; VCFS	
#193670	WHIM SYNDROME 1; WHIMS1	
#201100	ACRODERMATITIS ENTEROPATHICA, ZINC-DEFICIENCY TYPE; AEZ	
#202200	GLUCOCORTICOID DEFICIENCY 1; GCCD1	
#202700	NEUTROPENIA, SEVERE CONGENITAL, 1, AUTOSOMAL DOMINANT; SCN1	
#208085	ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND CHOLESTASIS 1; ARCS1	
#208400	ASPARTYLGLUCOSAMINURIA; AGU	
#208550	ASTHMA, NASAL POLYPS, AND ASPIRIN INTOLERANCE	
#208900	ATAXIA-TELANGIECTASIA; AT	
#209920	MHC CLASS II DEFICIENCY 1; MHC2D1	
#209950	IMMUNODEFICIENCY 27A; IMD27A	
#210900	BLOOM SYNDROME; BLM	
#212050	IMMUNODEFICIENCY 103, SUSCEPTIBILITY TO FUNGAL INFECTIONS; IMD103	
#212065	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ia; CDG1A	
#212750	CELIAC DISEASE, SUSCEPTIBILITY TO, 1; CELIAC1	
#214450	GRISCELLI SYNDROME, TYPE 1; GS1	
#214500	CHEDIAK-HIGASHI SYNDROME; CHS	
#214800	CHARGE SYNDROME	
#217000	COMPLEMENT COMPONENT 2 DEFICIENCY; C2D	
#219600	POLYCYSTIC LUNG DISEASE; PCLUD	
#222470	TRICHOHEPATOENTERIC SYNDROME 1; THES1	
#225750	AICARDI-GOUTIERES SYNDROME 1; AGS1	
#226300	COMPLEMENT HYPERACTIVATION, ANGIOPATHIC THROMBOSIS, AND PROTEIN-LOSING ENTEROPATHY; CHAPLE	
#226400	EPIDERMODYSPLASIA VERRUCIFORMIS, SUSCEPTIBILITY TO, 1; EV1	
#226960	LOWRY-WOOD SYNDROME; LWS	
#226990	IMMUNODEFICIENCY 32B; IMD32B	
#228600	HYALINE FIBROMATOSIS SYNDROME; HFS	
#229050	FOLATE MALABSORPTION, HEREDITARY	
#230500	GM1-GANGLIOSIDOSIS, TYPE I; GM1G1	
#233600	IMMUNODEFICIENCY 59 AND HYPOGLYCEMIA; IMD59	
#233650	COMBINED CELLULAR AND HUMORAL IMMUNE DEFECTS WITH GRANULOMAS; CCHIDG	
#233690	GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, 4; CGD4	
#233700	GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, 1; CGD1	
#233710	GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, 2; CGD2	
#235400	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1; AHUS1	
#235510	HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 1; HKLLS1	
#235550	HEPATIC VENOOCCLUSIVE DISEASE WITH IMMUNODEFICIENCY; VODI	
#240300	AUTOIMMUNE POLYENDOCRINE SYNDROME, TYPE I, WITH OR WITHOUT REVERSIBLE METAPHYSEAL DYSPLASIA; APS1	
#240500	IMMUNODEFICIENCY, COMMON VARIABLE, 2; CVID2	
#241410	HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRDS	
#241600	IMMUNODEFICIENCY 43; IMD43	
#242700	T-CELL IMMUNODEFICIENCY WITH THYMIC APLASIA; TIDTA	
#242840	VICI SYNDROME; VICIS	
#242860	IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 1; ICF1	
#242900	SCHIMKE IMMUNOOSSEOUS DYSPLASIA; SIOD	
#243150	GASTROINTESTINAL DEFECTS AND IMMUNODEFICIENCY SYNDROME 1; GIDID1	
#243700	HYPER-IgE SYNDROME 2, AUTOSOMAL RECESSIVE, WITH RECURRENT INFECTIONS; HIES2	
#244450	KAUFMAN OCULOCEREBROFACIAL SYNDROME; KOS	
#244460	KENNY-CAFFEY SYNDROME, TYPE 1; KCS1	
#245480	SPECIFIC GRANULE DEFICIENCY 1; SGD1	
#245590	GROWTH HORMONE INSENSITIVITY SYNDROME WITH IMMUNE DYSREGULATION 1, AUTOSOMAL RECESSIVE; GHISID1	
#246200	DONOHUE SYNDROME	
#246300	LEPROSY, SUSCEPTIBILITY TO, 3; LPRS3	
#248500	MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA	
#248510	MANNOSIDOSIS, BETA A, LYSOSOMAL; MANSB	
#250250	CARTILAGE-HAIR HYPOPLASIA; CHH	
#250460	METAPHYSEAL DYSPLASIA WITHOUT HYPOTRICHOSIS; MDWH	
#251260	NIJMEGEN BREAKAGE SYNDROME; NBS	
#252270	MONOSOMY 7 MYELODYSPLASIA AND LEUKEMIA SYNDROME 1; M7MLS1	
#254210	MYASTHENIC SYNDROME, CONGENITAL, 6, PRESYNAPTIC; CMS6	
#254300	MYASTHENIC SYNDROME, CONGENITAL, 10; CMS10	
#254600	MYELOPEROXIDASE DEFICIENCY; MPOD	
#256040	PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 1; PRAAS1	
#256500	NETHERTON SYNDROME; NETH	
#256800	INSENSITIVITY TO PAIN, CONGENITAL, WITH ANHIDROSIS; CIPA	
#256810	MITOCHONDRIAL DNA DEPLETION SYNDROME 6 (HEPATOCEREBRAL TYPE); MTDPS6	
#257200	NIEMANN-PICK DISEASE, TYPE A	
#257300	MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 1; MVA1	
#258900	OROTIC ACIDURIA	
#259680	CHRONIC RECURRENT MULTIFOCAL OSTEOMYELITIS 3; CRMO3	
#260570	IMMUNODEFICIENCY 108 WITH AUTOINFLAMMATION; IMD108	
#260920	HYPER-IgD SYNDROME; HIDS	
#261000	INTRINSIC FACTOR DEFICIENCY; IFD	
#261100	IMERSLUND-GRASBECK SYNDROME 1; IGS1	
#262400	ISOLATED GROWTH HORMONE DEFICIENCY, TYPE IA; IGHD1A	
#266265	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIc; CDG2C	
#267500	RETICULAR DYSGENESIS	
#269840	IMMUNODEFICIENCY 48; IMD48	
#270300	PEELING SKIN SYNDROME 1; PSS1	
#271400	ASPLENIA, ISOLATED CONGENITAL; ICAS	
#271510	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, SPONASTRIME TYPE; SEMDSP	
#274000	THROMBOCYTOPENIA-ABSENT RADIUS SYNDROME; TAR	
#275200	HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 1; CHNG1	
#275350	TRANSCOBALAMIN II DEFICIENCY; TCN2D	
#300291	ECTODERMAL DYSPLASIA AND IMMUNODEFICIENCY 1; EDAID1	
#300299	NEUTROPENIA, SEVERE CONGENITAL, X-LINKED; SCNX	
#300310	IMMUNODEFICIENCY 61; IMD61	
#614850	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 6; IIAE6	
#614868	IMMUNODEFICIENCY 110 WITH LYMPHOPROLIFERATION; IMD110	
#614878	AUTOINFLAMMATION, ANTIBODY DEFICIENCY, AND IMMUNE DYSREGULATION; APLAID	
#614889	IMMUNODEFICIENCY 28; IMD28	
#614890	IMMUNODEFICIENCY 29; IMD29	
#614891	IMMUNODEFICIENCY 30; IMD30	
#614892	IMMUNODEFICIENCY 31A; IMD31A	
#614893	IMMUNODEFICIENCY 32A; IMD32A	
#614962	LEPTIN DEFICIENCY OR DYSFUNCTION; LEPD	
#614963	LEPTIN RECEPTOR DEFICIENCY; LEPRD	
#614979	RETINAL DYSTROPHY, OPTIC NERVE EDEMA, SPLENOMEGALY, ANHIDROSIS, AND MIGRAINE HEADACHE SYNDROME; ROSAH	
#615009	SCHUURS-HOEIJMAKERS SYNDROME; SHMS	
#615122	LYMPHOPROLIFERATIVE SYNDROME 2; LPFS2	
#615139	FACIAL DYSMORPHISM, IMMUNODEFICIENCY, LIVEDO, AND SHORT STATURE; FILS	
#615190	DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 5; DKCB5	
#615206	IMMUNODEFICIENCY 11A; IMD11A	
#615207	IMMUNODEFICIENCY 56; IMD56	
#615214	AGAMMAGLOBULINEMIA 7, AUTOSOMAL RECESSIVE; AGM7	
#615285	NEUTROPENIA, SEVERE CONGENITAL, 5, AUTOSOMAL RECESSIVE; SCN5	
#615387	IMMUNODEFICIENCY 7; IMD7	
#615401	IMMUNODEFICIENCY 8 WITH LYMPHOPROLIFERATION; IMD8	
#615468	IMMUNODEFICIENCY 12; IMD12	
#615471	MITOCHONDRIAL DNA DEPLETION SYNDROME 13 (ENCEPHALOMYOPATHIC TYPE); MTDPS13	
#615508	ERYTHRODERMA, CONGENITAL, WITH PALMOPLANTAR KERATODERMA, HYPOTRICHOSIS, AND HYPER-IgE; EPKHE	
#615512	TRIOSEPHOSPHATE ISOMERASE DEFICIENCY; TPID	
#615513	IMMUNODEFICIENCY 14A WITH LYMPHOPROLIFERATION, AUTOSOMAL DOMINANT; IMD14A	
#615518	IMMUNODEFICIENCY 13; IMD13	
#615527	CANDIDIASIS, FAMILIAL, 8; CANDF8	
#615541	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 39; MRT39	
#615557	MELIOIDOSIS, SUSCEPTIBILITY TO	
#615559	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME, TYPE III; ALPS3	
#615560	OTOFACIOCERVICAL SYNDROME 2, WITH T-CELL DEFICIENCY; OTFCS2	
#615561	COMPLEMENT FACTOR B DEFICIENCY; CFBD	
#615577	IMMUNODEFICIENCY, COMMON VARIABLE, 10; CVID10	
#615592	IMMUNODEFICIENCY 15B; IMD15B	
#615593	IMMUNODEFICIENCY 16; IMD16	





