
MIM Number	Title	Entrez Gene ID
#300845	MOYAMOYA DISEASE 4 WITH SHORT STATURE, HYPERGONADOTROPIC HYPOGONADISM, AND FACIAL DYSMORPHISM; MYMY4	
#300849	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 41; XLID41	
#300850	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 90; XLID90	
#300853	IMMUNODEFICIENCY, X-LINKED, WITH MAGNESIUM DEFECT, EPSTEIN-BARR VIRUS INFECTION, AND NEOPLASIA; XMEN	
#300855	OGDEN SYNDROME; OGDNS	
#300857	AMYOTROPHIC LATERAL SCLEROSIS 15 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA; ALS15	
#300860	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN	
#300863	CHONDRODYSPLASIA WITH PLATYSPONDYLY, DISTINCTIVE BRACHYDACTYLY, HYDROCEPHALY, AND MICROPHTHALMIA	
#300867	KABUKI SYNDROME 2; KABUK2	
#300868	MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 2; MCAHS2	
#300869	CHROMOSOME Xq27.3-q28 DUPLICATION SYNDROME	
#300872	AUTISM, SUSCEPTIBILITY TO, X-LINKED 6; AUTSX6	
#300882	CORNELIA DE LANGE SYNDROME 5; CDLS5	
#300884	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 36; DEE36	
#300887	LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 2; LSDMCA2	
#300888	HYPOTHYROIDISM, CENTRAL, WITH TESTICULAR ENLARGEMENT; CHTE	
#300894	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 5; NBIA5	
#300895	OHDO SYNDROME, X-LINKED; OHDOX	
#300896	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIm; CDG2M	
#300905	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 6; CMTX6	
#300911	PARKINSONISM WITH SPASTICITY, X-LINKED; XPDS	
#300912	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 98; XLID98	
#300915	MICROPHTHALMIA, SYNDROMIC 13; MCOPS13	
#300919	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99; XLID99	
#300923	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 100; XLID100	
#300928	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 101; XLID101	
#300934	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iy; CDG1Y	
#300942	CHROMOSOME Xq26.3 DUPLICATION SYNDROME	
#300943	PITUITARY ADENOMA 2, GROWTH HORMONE-SECRETING; PITA2	
#300952	LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 3; LSDMCA3	
#300953	TRICHOTHIODYSTROPHY 5, NONPHOTOSENSITIVE; TTD5	
#300957	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 12; XLID12	
#300958	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNIJDERS BLOK TYPE; MRXSSB	
#300960	MEND SYNDROME; MEND	
#300963	RITSCHER-SCHINZEL SYNDROME 2; RTSC2	
#300966	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 33; MRXS33	
#300967	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 34; MRXS34	
#300968	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F	
#300972	IMMUNODEFICIENCY 47; IMD47	
#300978	TONNE-KALSCHEUER SYNDROME; TOKAS	
#300979	CHROMOSOME Xq25 DUPLICATION SYNDROME	
#300982	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 103; XLID103	
#300983	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 104; XLID104	
#300984	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 105; XLID105	
#300986	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, BAIN TYPE; MRXSB	
#300989	MEESTER-LOEYS SYNDROME; MRLS	
#300990	MIDFACE HYPOPLASIA, HEARING IMPAIRMENT, ELLIPTOCYTOSIS, AND NEPHROCALCINOSIS; MFHIEN	
#300997	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 106; XLID106	
#300998	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 35; MRXS35	
#301000	WISKOTT-ALDRICH SYNDROME; WAS	
#301006	GALLOWAY-MOWAT SYNDROME 2, X-LINKED; GAMOS2	
#301008	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HOUGE TYPE; MRXSHG	
#301013	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 107; XLID107	
#301020	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 12; MC1DN12	
#301022	MULLEGAMA-KLEIN-MARTINEZ SYNDROME; MKMS	
#301024	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 108; MRX108	
#301025	PAGANINI-MIOZZO SYNDROME; MRXSPM	
#301026	KEIPERT SYNDROME; KPTS	
#301029	SHUKLA-VERNON SYNDROME; SHUVER	
#301030	VAN ESCH-O'DRISCOLL SYNDROME; VEODS	
#301031	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Icc; CDG1CC	
#301032	BASILICATA-AKHTAR SYNDROME; MRXSBA	
#301033	HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 8; CHNG8	
#301039	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HACKMANN-DI DONATO TYPE; MRXSHD	
#301040	ALPHA-THALASSEMIA/IMPAIRED INTELLECTUAL DEVELOPMENT SYNDROME, X-LINKED; ATRX	
#301041	WIEACKER-WOLFF SYNDROME, FEMALE-RESTRICTED; WRWFFR	
#301043	HOLOPROSENCEPHALY 13, X-LINKED; HPE13	
#301044	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 85 WITH OR WITHOUT MIDLINE BRAIN DEFECTS; DEE85	
#301045	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIr; CDG2R	
#301056	MULTIPLE CONGENITAL ANOMALIES-NEURODEVELOPMENTAL SYNDROME, X-LINKED; MCAND	
#301058	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 90; DEE90	
#301066	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, WITH PIGMENTARY MOSAICISM AND COARSE FACIES; MRXSPF	
#301068	HARDIKAR SYNDROME; HDKR	
#301069	CHROMOSOME Xq13 DUPLICATION SYNDROME	
#301072	NEURODEVELOPMENTAL DISORDER WITH EPILEPSY AND HEMOCHROMATOSIS; NEDEPH	
#301076	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, PILORGE TYPE; MRXSP	
#301080	SYSTEMIC LUPUS ERYTHEMATOSUS 17; SLEB17	
#301081	AUTOINFLAMMATORY DISEASE, SYSTEMIC, X-LINKED; SAIDX	
#301082	IMMUNODEFICIENCY 102; IMD102	
#301091	EPILEPSY, X-LINKED 2, WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT AND DYSMORPHIC FEATURES; EPILX2	
#301094	HIJAZI-REIS SYNDROME; HIJRS	
#301095	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 110; XLID110	
#301107	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 111; XLID111	
#301108	CATARACTS, HEARING IMPAIRMENT, NEPHROTIC SYNDROME, AND ENTEROCOLITIS 1; CHINE1	
#301109	AUTOINFLAMMATORY DISEASE, MULTISYSTEM, WITH IMMUNE DYSREGULATION, X-LINKED; ADMIDX	
#301110	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, 8, WITH RHIZOMELIC SHORT STATURE; AHUS8	
#301111	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 112; XLID112	
#301114	LUI-JEE-BARON SYNDROME; LJBS	
#301116	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 113; XLID113	
#301118	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 37; MRXS37	
#301220	PIGMENTARY DISORDER, RETICULATE, WITH SYSTEMIC MANIFESTATIONS, X-LINKED; PDR	
#301310	SPINOCEREBELLAR ATAXIA, X-LINKED 6, WITH OR WITHOUT SIDEROBLASTIC ANEMIA; SCAX6	
#301500	FABRY DISEASE	
#301830	SPINAL MUSCULAR ATROPHY, X-LINKED 2; SMAX2	
#301835	ARTS SYNDROME; ARTS	
#301900	BORJESON-FORSSMAN-LEHMANN SYNDROME; BFLS	
#302060	BARTH SYNDROME; BTHS	
#302350	NANCE-HORAN SYNDROME; NHS	
#302500	SPINOCEREBELLAR ATAXIA, X-LINKED 1; SCAX1	
#302800	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1; CMTX1	
#302802	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED RECESSIVE, 3; CMTX3	
#302950	CHONDRODYSPLASIA PUNCTATA 1, X-LINKED RECESSIVE; CDPX1	
#303110	CHROMOSOME Xq21 DELETION SYNDROME	
#303350	MASA SYNDROME	
#303600	COFFIN-LOWRY SYNDROME; CLS	
#304100	CORPUS CALLOSUM, PARTIAL AGENESIS OF, X-LINKED	
#304110	CRANIOFRONTONASAL SYNDROME; CFNS	
#304120	OTOPALATODIGITAL SYNDROME, TYPE II; OPD2	
#304150	OCCIPITAL HORN SYNDROME; OHS	
#304340	PETTIGREW SYNDROME; PGS	
#304700	MOHR-TRANEBJAERG SYNDROME; MTS	
#304800	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED; NDI1	
#305000	DYSKERATOSIS CONGENITA, X-LINKED; DKCX	
#305400	AARSKOG-SCOTT SYNDROME; AAS	
#305450	OPITZ-KAVEGGIA SYNDROME; OKS	
#305600	FOCAL DERMAL HYPOPLASIA; FDH	
#305620	FRONTOMETAPHYSEAL DYSPLASIA 1; FMD1	
#306000	GLYCOGEN STORAGE DISEASE IXa1; GSD9A1	
#307000	HYDROCEPHALUS, CONGENITAL, X-LINKED; HYCX	
#307030	GLYCEROL KINASE DEFICIENCY; GKD	
#307200	ISOLATED GROWTH HORMONE DEFICIENCY, TYPE III, WITH AGAMMAGLOBULINEMIA; IGHD3	
#307700	HYPOPARATHYROIDISM, X-LINKED; HYPX	
#308050	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS	
#308205	IFAP SYNDROME 1, WITH OR WITHOUT BRESHECK SYNDROME; IFAP1	
#308240	LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, 1; XLP1	
#308300	INCONTINENTIA PIGMENTI; IP	
#308350	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 1; DEE1	
#308700	HYPOGONADOTROPIC HYPOGONADISM 1 WITH OR WITHOUT ANOSMIA; HH1	
#309000	LOWE OCULOCEREBRORENAL SYNDROME; OCRL	
#309350	MELNICK-NEEDLES SYNDROME; MNS	
#309400	MENKES DISEASE; MNK	
#309500	RENPENNING SYNDROME 1; RENS1	
#309510	PARTINGTON SYNDROME; PRTS	
#309520	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUJAN-FRYNS TYPE; MRXSLF	
#309530	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 1; XLID1	
#309541	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblX TYPE; MAHCX	
#309548	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 109; XLID109	
#309549	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 9; XLID9	
#309555	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, GUSTAVSON TYPE; MRXSG	
#309580	INTELLECTUAL DISABILITY-HYPOTONIC FACIES SYNDROME, X-LINKED, 1; MRXHF1	
#309583	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR	
#309585	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, WILSON-TURNER TYPE; WTS	
#309590	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST	
#309610	PRIETO SYNDROME; PRS	
#309800	MICROPHTHALMIA, SYNDROMIC 1; MCOPS1	
#309801	LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 1; LSDMCA1	
#309900	MUCOPOLYSACCHARIDOSIS, TYPE II; MPS2	
#310200	MUSCULAR DYSTROPHY, DUCHENNE TYPE; DMD	
#310300	EMERY-DREIFUSS MUSCULAR DYSTROPHY 1, X-LINKED; EDMD1	
#310400	MYOPATHY, CENTRONUCLEAR, X-LINKED; CNMX	
#310440	MYOPATHY, X-LINKED, WITH EXCESSIVE AUTOPHAGY; MEAX	





